Process with no PCG/ActUnit:
Scenario ; Region ; Process ; PrimaryCG ; Activity Unit 

NewTech_RCA1 ; SI ; C_EDU-WH_Cylinder-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_EDU-WH_Cylinder-NGA ;  ; PJ
NewTech_RCA1 ; SI ; C_EDU-WH_GHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_EDU-WH_Instant-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_EDU-WH_Instant-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_EDU-WH_Instant-NGA ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-LT_FLU-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-LT_INC-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-LT_LED-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-MPM_-DSL ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-MPM_-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-MPM_-H2R ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-MPM_-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-MPM_-PET ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-MPS_-DSL ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-MPS_-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-MPS_-H2R ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-MPS_-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-MPS_-PET ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-OTH_ELEC-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-PH_Boiler-BIG ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-PH_Boiler-COA ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-PH_Boiler-DSL ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-PH_Boiler-FOL ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-PH_Boiler-H2R ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-PH_Boiler-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-PH_Boiler-NGA ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-PH_Boiler-PLT ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-PH_Boiler-WOD ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-PH_RH-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-RF_Refriger-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-SC_AIRHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-SC_GHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-SH_AIRHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-SH_Boiler-BIG ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-SH_Boiler-COA ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-SH_Boiler-DSL ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-SH_Boiler-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-SH_Boiler-FOL ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-SH_Boiler-H2R ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-SH_Boiler-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-SH_Boiler-NGA ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-SH_Boiler-PLT ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-SH_Boiler-WOD ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-SH_GHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-SH_RH-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-WH_AIRHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-WH_Boiler-BIG ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-WH_Boiler-COA ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-WH_Boiler-DSL ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-WH_Boiler-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-WH_Boiler-FOL ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-WH_Boiler-H2R ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-WH_Boiler-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-WH_Boiler-NGA ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-WH_Boiler-PLT ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-WH_Boiler-WOD ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-WH_Cylinder-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-WH_Cylinder-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-WH_Cylinder-NGA ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-WH_DirectH-GEO ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-WH_GHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-WH_Instant-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-WH_Instant-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_HLTH-WH_Instant-NGA ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-LT_FLU-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-LT_INC-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-LT_LED-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-MPM_-DSL ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-MPM_-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-MPM_-H2R ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-MPM_-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-MPM_-PET ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-MPS_-DSL ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-MPS_-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-MPS_-H2R ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-MPS_-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-MPS_-PET ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-OTH_EELC-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-SC_AIRHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-SC_GHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-SH_AirHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-SH_Boiler-BIG ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-SH_Boiler-COA ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-SH_Boiler-DSL ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-SH_Boiler-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-SH_Boiler-FOL ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-SH_Boiler-H2R ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-SH_Boiler-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-SH_Boiler-NGA ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-SH_Boiler-PLT ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-SH_Boiler-WOD ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-SH_GHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-SH_RH-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-WH_AirHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-WH_Boiler-BIG ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-WH_Boiler-COA ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-WH_Boiler-DSL ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-WH_Boiler-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-WH_Boiler-FOL ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-WH_Boiler-H2R ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-WH_Boiler-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-WH_Boiler-NGA ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-WH_Boiler-PLT ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-WH_Boiler-WOD ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-WH_Cylinder-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-WH_Cylinder-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-WH_Cylinder-NGA ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-WH_GHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-WH_Instant-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-WH_Instant-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_OFFC-WH_Instant-NGA ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-LT_FLU-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-LT_INC-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-LT_LED-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-MPM_-DSL ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-MPM_-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-MPM_-FOL ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-MPM_-H2R ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-MPM_-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-MPM_-PET ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-MPS_-DSL ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-MPS_-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-MPS_-H2R ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-MPS_-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-MPS_-PET ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-OTH_Elec-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-SC_AIRHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-SC_GHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-SH_AirHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-SH_Boiler-BIG ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-SH_Boiler-COA ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-SH_Boiler-DSL ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-SH_Boiler-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-SH_Boiler-FOL ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-SH_Boiler-H2R ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-SH_Boiler-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-SH_Boiler-NGA ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-SH_Boiler-PLT ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-SH_Boiler-WOD ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-SH_GHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-SH_RH-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-WH_AirHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-WH_Boiler-BIG ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-WH_Boiler-COA ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-WH_Boiler-DSL ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-WH_Boiler-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-WH_Boiler-FOL ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-WH_Boiler-H2R ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-WH_Boiler-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-WH_Boiler-NGA ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-WH_Boiler-PLT ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-WH_Boiler-WOD ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-WH_Cylinder-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-WH_Cylinder-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-WH_Cylinder-NGA ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-WH_DirectH-GEO ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-WH_GHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-WH_Instant-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-WH_Instant-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_OTH-WH_Instant-NGA ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-CK_Elements-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-CK_Elements-H2R ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-CK_Elements-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-CK_Elements-NGA ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-CK_Induction-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-CK_Ovens-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-CK_Ovens-H2R ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-CK_Ovens-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-CK_Ovens-NGA ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-LT_FLU-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-LT_INC-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-LT_LED-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-MPM_-DSL ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-MPM_-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-MPM_-H2R ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-MPM_-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-MPM_-PET ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-MPS_-DSL ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-MPS_-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-MPS_-H2R ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-MPS_-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-MPS_-PET ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-OTH_ELEC-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-RF_Refriger-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SC_AIRHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SC_GHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_AirHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_Boiler-BIG ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_Boiler-COA ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_Boiler-DSL ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_Boiler-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_Boiler-FOL ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_Boiler-H2R ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_Boiler-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_Boiler-NGA ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_Boiler-PLT ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_Boiler-WOD ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_DirectH-GEO ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_GHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_RH-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-WH_AirHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-WH_Boiler-BIG ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-WH_Boiler-COA ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-WH_Boiler-DSL ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-WH_Boiler-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-WH_Boiler-FOL ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-WH_Boiler-H2R ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-WH_Boiler-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-WH_Boiler-NGA ;  ; PJ
