The following processes has Re-Define across SubRES:
------------------------------------------------
Scenario-Region-Process

NewTransport-KEA ; SI ; T_P_McyICEPET
NewTech_AGR_KEA ; NI ; ADCF-MoTP-Mob-Bike--PET
NewTech_AGR_KEA ; NI ; ADCF-MoTP-Mob-MTr--DSL
NewTech_AGR_KEA ; NI ; ADCF-MoTP-Mob-MTr--ELC
NewTech_AGR_KEA ; NI ; ADCF-MoTP-Mob-MTr--H2R
NewTech_AGR_KEA ; NI ; ADCF-MoTP-Mob-Trac--DSL
NewTech_AGR_KEA ; NI ; ADCF-MoTP-Mob-Trac--ELC
NewTech_AGR_KEA ; NI ; ADCF-MoTP-Mob-Trac--H2R
NewTech_AGR_KEA ; NI ; ADCF-MoTP-Mob-Uti--DSL
NewTech_AGR_KEA ; NI ; ADCF-MoTP-Mob-Uti--ELC
NewTech_AGR_KEA ; NI ; ADCF-MoTP-Mob-Uti--H2R
NewTech_AGR_KEA ; NI ; ADCF-MoTP-Stat-VacP-ELC
NewTech_AGR_KEA ; NI ; ADCF-MoTP-Stat-VPVSD-ELC
NewTech_AGR_KEA ; NI ; ADCF-PUMP--ELC
NewTech_AGR_KEA ; NI ; ADCF-RFGR--ELC
NewTech_AGR_KEA ; NI ; ADCF-RFGR-HRECSys-ELC
NewTech_AGR_KEA ; NI ; ADCF-WH-Cylinder-ELC
NewTech_AGR_KEA ; NI ; ADCF-WH-Hreco-ELC
NewTech_AGR_KEA ; NI ; AFISH-BOAT-Boat-DSL
NewTech_AGR_KEA ; NI ; AFISH-BOAT-HYBBOAT-DSL
NewTech_AGR_KEA ; NI ; AFISH-LIG--ELC
NewTech_AGR_KEA ; NI ; AFISH-RFGR-RF-ELC
NewTech_AGR_KEA ; NI ; AFORE-LIG--ELC
NewTech_AGR_KEA ; NI ; AFORE-MoTP-Mob-CY--DSL
NewTech_AGR_KEA ; NI ; AFORE-MoTP-Mob-CY--ELC
NewTech_AGR_KEA ; NI ; AFORE-MoTP-Mob-CY--H2R
NewTech_AGR_KEA ; NI ; AFORE-MoTP-Mob-GB--DSL
NewTech_AGR_KEA ; NI ; AFORE-MoTP-Mob-GB--ELC
NewTech_AGR_KEA ; NI ; AFORE-MoTP-Mob-GB--H2R
NewTech_AGR_KEA ; NI ; AFORE-MoTP-Stat--ELC
NewTech_AGR_KEA ; NI ; AHORT-IRG-Irg-ELC
NewTech_AGR_KEA ; NI ; AHORT-IRG-IrgVSD-ELC
NewTech_AGR_KEA ; NI ; AHORT-LIG--ELC
NewTech_AGR_KEA ; NI ; AHORT-MoTP-Mob-MTr--DSL
NewTech_AGR_KEA ; NI ; AHORT-MoTP-Mob-MTr--ELC
NewTech_AGR_KEA ; NI ; AHORT-MoTP-Mob-MTr--H2R
NewTech_AGR_KEA ; NI ; AHORT-MoTP-Mob-Trac--DSL
NewTech_AGR_KEA ; NI ; AHORT-MoTP-Mob-Trac--ELC
