The following processes has Re-Define across SubRES:
------------------------------------------------
Scenario-Region-Process

NewTech_ELC_KEA ; SL ; CCS_Store1
NewTech_ELC_KEA ; SL ; CCS_Store2
NewTech_ELC_KEA ; SL ; EBAT-Li-Ion
NewTech_ELC_TUI ; SL ; EGEOFLSH20
NewTech_ELC_TUI ; SL ; EHCO_CCS30
NewTech_ELC_TUI ; SL ; EHCO_SCPC20
NewTech_ELC_TUI ; SL ; EHCOL_CCS30
NewTech_ELC_TUI ; SL ; EHCOL_SCPC20
NewTech_ELC_TUI ; SL ; EHYD-DAM-New20
NewTech_ELC_TUI ; SL ; EHYDPUMPSTG_L
NewTech_ELC_TUI ; SL ; EHYDPUMPSTG_S
NewTech_ELC_TUI ; SL ; EHYD-RR-New20
NewTech_ELC_TUI ; SL ; EHYD-RR-NSmall20
NewTech_ELC_TUI ; SL ; ENGA_CCS30
NewTech_ELC_TUI ; SL ; ENGA_GTCC20
NewTech_ELC_TUI ; SL ; ENGA_GTCCF20
NewTech_ELC_TUI ; SL ; ENUC_EPR30
NewTech_ELC_TUI ; SL ; ENUC_FBR50
NewTech_ELC_TUI ; SL ; ENUC_LWR20
NewTech_ELC_TUI ; SL ; EOIL20
NewTech_ELC_TUI ; SL ; ESOLPVBCOM20
NewTech_ELC_TUI ; SL ; ESOLPVBRES20
NewTech_ELC_TUI ; SL ; ESOLPVDISTGR20
NewTech_ELC_TUI ; SL ; ESOLPVUTIFIX20
NewTech_ELC_TUI ; SL ; ESOLPVUTITRAC20
NewTech_ELC_TUI ; SL ; ETIDE20
NewTech_ELC_TUI ; SL ; EWINDCONS20
NewTech_ELC_TUI ; SL ; EWINDDIST20
NewTech_ELC_TUI ; SL ; EWINDHIGHCF20
NewTech_ELC_TUI ; SL ; EWINDLOWCF20
NewTech_ELC_TUI ; SL ; EWINDOFFSFIX20
NewTech_ELC_TUI ; SL ; EWINDOFFSFLOA20
NewTech_ELC_TUI ; SL ; EWOD20
NewTech_ELC_TUI ; SL ; EWSTINC20
NewTech_ELC_KEA ; SL ; EBATUTIFLOW
NewTech_ELC_KEA ; SL ; EBATUTILION
NewTech_ELC_KEA ; SL ; EBIG20
NewTech_ELC_KEA ; SL ; EBIL20
NewTech_ELC_KEA ; SL ; EGEOBIN20
NewTech_ELC_KEA ; SL ; EGEOCONSBIN20
NewTech_ELC_KEA ; SL ; EGEOCONSFLSH20
NewTech_ELC_KEA ; SL ; EGEOFLSH20
NewTech_ELC_KEA ; SL ; EHCO_CCS30
NewTech_ELC_KEA ; SL ; EHCO_SCPC20
NewTech_ELC_KEA ; SL ; EHCOL_CCS30
NewTech_ELC_KEA ; SL ; EHCOL_SCPC20
NewTech_ELC_KEA ; SL ; EHYD-DAM-New20
NewTech_ELC_KEA ; SL ; EHYDPUMPSTG_L
NewTech_ELC_KEA ; SL ; EHYDPUMPSTG_S
NewTech_ELC_KEA ; SL ; EHYD-RR-New20
NewTech_ELC_KEA ; SL ; EHYD-RR-NSmall20
NewTech_ELC_KEA ; SL ; ENGA_CCS30
NewTech_ELC_KEA ; SL ; ENGA_GTCC20
NewTech_ELC_KEA ; SL ; ENGA_GTCCF20
NewTech_ELC_KEA ; SL ; ENUC_EPR30
NewTech_ELC_KEA ; SL ; ENUC_FBR50
NewTech_ELC_KEA ; SL ; ENUC_LWR20
NewTech_ELC_KEA ; SL ; EOIL20
NewTech_ELC_KEA ; SL ; ESOLPVBCOM20
NewTech_ELC_KEA ; SL ; ESOLPVBRES20
NewTech_ELC_KEA ; SL ; ESOLPVDISTGR20
NewTech_ELC_KEA ; SL ; ESOLPVUTIFIX20
NewTech_ELC_KEA ; SL ; ESOLPVUTITRAC20
NewTech_ELC_KEA ; SL ; ETIDE20
NewTech_ELC_KEA ; SL ; EWINDCONS20
NewTech_ELC_KEA ; SL ; EWINDDIST20
NewTech_ELC_KEA ; SL ; EWINDHIGHCF20
NewTech_ELC_KEA ; SL ; EWINDLOWCF20
NewTech_ELC_KEA ; SL ; EWINDOFFSFIX20
NewTech_ELC_KEA ; SL ; EWINDOFFSFLOA20
NewTech_ELC_KEA ; SL ; EWOD20
NewTech_ELC_KEA ; SL ; EWSTINC20
NewTech_ELC_TUI ; SL ; CCS_Store1
NewTech_ELC_TUI ; SL ; CCS_Store2
NewTech_ELC_TUI ; SL ; EBAT-Li-Ion
NewTech_ELC_TUI ; SL ; EBATUTIFLOW
NewTech_ELC_TUI ; SL ; EBATUTILION
NewTech_ELC_TUI ; SL ; EBIG20
NewTech_ELC_TUI ; SL ; EBIL20
NewTech_ELC_TUI ; SL ; EGEOBIN20
NewTech_ELC_TUI ; SL ; EGEOCONSBIN20
NewTech_ELC_TUI ; SL ; EGEOCONSFLSH20

