sheetname: IND_NewTechs
range: N8:AS247
filename: SubRES_TMPL/Before_SubRES_NewTechs_Industry.xlsx
tag: ~FI_T
types: TechName (object), *TechDesc (object), Comm-IN (object), Comm-OUT (object), Year (object), Start (object), LIFE (object), AFA (object), CAP2ACT (object), EFF (object), EFF~2020 (object), EFF~2025 (object), EFF~2030 (object), EFF~2035 (object), EFF~2040 (object), EFF~2045 (object), EFF~2050 (object), EFF~2055 (object), EFF~2060 (object), INVCOST (object), INVCOST~2020 (object), INVCOST~2025 (object), INVCOST~2030 (object), INVCOST~2035 (object), INVCOST~2040 (object), INVCOST~2045 (object), INVCOST~2050 (object), INVCOST~2055 (object), INVCOST~2060 (object), FLO_MARK (object), FLO_MARK~0 (object)
TechName,*TechDesc,Comm-IN,Comm-OUT,Year,Start,LIFE,AFA,CAP2ACT,EFF,EFF~2020,EFF~2025,EFF~2030,EFF~2035,EFF~2040,EFF~2045,EFF~2050,EFF~2055,EFF~2060,INVCOST,INVCOST~2020,INVCOST~2025,INVCOST~2030,INVCOST~2035,INVCOST~2040,INVCOST~2045,INVCOST~2050,INVCOST~2055,INVCOST~2060,FLO_MARK,FLO_MARK~0
ALU-PH-FURN-ELC-Furn,New Aluminium - Process Heat: Furnace/Kiln  - Electricity,INDELC,ALU-PH-FURN,2018,2020,25,0.9,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,63,63,63,63,63,63,63,63,63,63,,
CNST-MoTP-Mob-DSL-ICE_ofrd,"New Construction - Motive Power, Mobile  - Diesel",INDDSL,CNST-MoTP-Mob,2018,2020,20,0.09,31.536,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,2388,2388,2388,2388,2388,2388,2388,2388,2388,2388,,
CNST-MoTP-Mob-NGA-ICE_ofrd,"New Construction - Motive Power, Mobile  - Natural Gas",INDNGA,CNST-MoTP-Mob,2018,2020,20,0.09,31.536,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,0.05,5
CNST-MoTP-Mob-PET-ICE_ofrd,"New Construction - Motive Power, Mobile  - Petrol",INDPET,CNST-MoTP-Mob,2018,2020,15,0.09,31.536,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,0.02,5
CNST-MoTP-Mob-LPG-ICE_ofrd,"New Construction - Motive Power, Mobile  - LPG",INDLPG,CNST-MoTP-Mob,2018,2020,20,0.09,31.536,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,2675,2675,2675,2675,2675,2675,2675,2675,2675,2675,0.11,5
CNST-MoTP-Stat-DSL-st_ngn,"New Construction - Motive Power, Stationary  - Diesel",INDDSL,CNST-MoTP-Stat,2018,2020,20,0.5,31.536,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,455,455,455,455,455,455,455,455,455,455,,
CNST-MoTP-Stat-PET-st_ngn,"New Construction - Motive Power, Stationary  - Petrol",INDPET,CNST-MoTP-Stat,2018,2020,15,0.5,31.536,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,350,350,350,350,350,350,350,350,350,350,,
CNST-MoTP-Stat-ELC-Motor,"New Construction - Motive Power, Stationary  - Electricity",INDELC,CNST-MoTP-Stat,2018,2020,10,0.5,31.536,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,280,280,280,280,280,280,280,280,280,280,,
CNST-MoTP-Stat-ELC-VSD-Mtr,"New Construction - Motive Power, Stationary  - Electricity",INDELC,CNST-MoTP-Stat,2018,2020,10,0.5,31.536,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,336,336,336,336,336,336,336,336,336,336,0.5,5
DARY-AIR-ELC-CMPR,New Dairy - Compressed Air  - Electricity,INDELC,DARY-AIR,2018,2020,25,0.68,31.536,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,
DARY-MoTP-Stat-PET-st_ngn,"New Dairy - Motive Power, Stationary  - Petrol",INDPET,DARY-MoTP-Stat,2018,2020,15,0.5,31.536,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,350,350,350,350,350,350,350,350,350,350,,
DARY-MoTP-Stat-DSL-st_ngn,"New Dairy - Motive Power, Stationary  - Diesel",INDDSL,DARY-MoTP-Stat,2018,2020,20,0.5,31.536,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,455,455,455,455,455,455,455,455,455,455,,
DARY-MoTP-Stat-ELC-Motor,"New Dairy - Motive Power, Stationary  - Electricity",INDELC,DARY-MoTP-Stat,2018,2020,10,0.5,31.536,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,280,280,280,280,280,280,280,280,280,280,,
DARY-MoTP-Stat-ELC-VSD-Mtr,"New Dairy - Motive Power, Stationary  - Electricity",INDELC,DARY-MoTP-Stat,2018,2020,10,0.5,31.536,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,336,336,336,336,336,336,336,336,336,336,0.5,5
DARY-PH-MVR_DRY-ELC-HPmp,New Dairy - Process Heat: MVR Drying  - Electricity,INDELC,DARY-PH-MVR_DRY,2018,2020,20,0.68,31.536,3,3,3,3,3,3,3,3,3,3,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,0.267,5
DARY-PH-MVR_DRY-ELC-HRCVR,New Dairy - Process Heat: MVR Drying  - Electricity,INDELC,DARY-PH-MVR_DRY,2018,2020,20,0.68,31.536,28.0750782081625,28.0750782081625,28.0750782081625,28.0750782081625,28.0750782081625,28.0750782081625,28.0750782081625,28.0750782081625,28.0750782081625,28.0750782081625,16350,16350,16350,16350,16350,16350,16350,16350,16350,16350,0.146,5
DARY-PH-MVR_DRY-COA-Boiler,New Dairy - Process Heat: MVR Drying  - Coal,INDCOA,DARY-PH-MVR_DRY,2018,2020,25,0.68,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,750,750,750,750,750,750,750,750,750,750,,
DARY-PH-MVR_DRY-NGA-Boiler,New Dairy - Process Heat: MVR Drying  - Natural Gas,INDNGA,DARY-PH-MVR_DRY,2018,2020,25,0.68,31.536,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,250,250,250,250,250,250,250,250,250,250,,
DARY-PH-MVR_DRY-WOD-Boiler,New Dairy - Process Heat: MVR Drying  - Wood,INDWOD,DARY-PH-MVR_DRY,2018,2020,25,0.68,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,,
DARY-PH-MVR_DRY-ELC-Boiler,New Dairy - Process Heat: MVR Drying  - Electricity,INDELC,DARY-PH-MVR_DRY,2018,2020,25,0.68,31.536,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,250,250,250,250,250,250,250,250,250,250,,
DARY-PH-MVR_PRE-COA-Boiler,New Dairy - Process Heat: MVR Evaporation Preheat  - Coal,INDCOA,DARY-PH-MVR_PRE,2018,2020,25,0.68,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,750,750,750,750,750,750,750,750,750,750,,
DARY-PH-MVR_PRE-NGA-Boiler,New Dairy - Process Heat: MVR Evaporation Preheat  - Natural Gas,INDNGA,DARY-PH-MVR_PRE,2018,2020,25,0.68,31.536,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,250,250,250,250,250,250,250,250,250,250,,
DARY-PH-MVR_PRE-WOD-Boiler,New Dairy - Process Heat: MVR Evaporation Preheat  - Wood,INDWOD,DARY-PH-MVR_PRE,2018,2020,25,0.68,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,,
DARY-PH-MVR_PRE-ELC-Boiler,New Dairy - Process Heat: MVR Evaporation Preheat  - Electricity,INDELC,DARY-PH-MVR_PRE,2018,2020,25,0.68,31.536,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,250,250,250,250,250,250,250,250,250,250,,
DARY-PH-MVR_PRE-ELC-Fan,New Dairy - Process Heat: MVR Evaporation Preheat  - Electricity,INDELC,DARY-PH-MVR_PRE,2018,2020,25,0.68,31.536,51.77,51.77,51.77,51.77,51.77,51.77,51.77,51.77,51.77,51.77,27761,27761,27761,27761,27761,27761,27761,27761,27761,27761,0.453,5
DARY-PH-TVR_EVP-COA-Boiler,New Dairy - Process Heat: TVR Evaporation  - Coal,INDCOA,DARY-PH-TVR_EVP,2018,2020,25,0.68,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,750,750,750,750,750,750,750,750,750,750,,
DARY-PH-TVR_EVP-NGA-Boiler,New Dairy - Process Heat: TVR Evaporation  - Natural Gas,INDNGA,DARY-PH-TVR_EVP,2018,2020,25,0.68,31.536,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,250,250,250,250,250,250,250,250,250,250,,
DARY-PH-TVR_EVP-ELC-Fan,New Dairy - Process Heat: TVR Evaporation  - Electricity,INDELC,DARY-PH-TVR_EVP,2018,2020,25,0.68,31.536,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,2872,2872,2872,2872,2872,2872,2872,2872,2872,2872,0.893,5
DARY-PH-TVR_EVP-WOD-Boiler,New Dairy - Process Heat: TVR Evaporation  - Wood,INDWOD,DARY-PH-TVR_EVP,2018,2020,25,0.68,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,,
DARY-PH-TVR_EVP-ELC-Boiler,New Dairy - Process Heat: TVR Evaporation  - Electricity,INDELC,DARY-PH-TVR_EVP,2018,2020,25,0.68,31.536,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,250,250,250,250,250,250,250,250,250,250,,
DARY-PH-TVR_DRY-WOD-Boiler,New Dairy - Process Heat: TVR Drying  - Wood,INDWOD,DARY-PH-TVR_DRY,2018,2020,25,0.68,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,,
DARY-PH-TVR_DRY-ELC-Boiler,New Dairy - Process Heat: TVR Drying  - Electricity,INDELC,DARY-PH-TVR_DRY,2018,2020,25,0.68,31.536,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,250,250,250,250,250,250,250,250,250,250,,
DARY-PH-TVR_DRY-ELC-HPmp,New Dairy - Process Heat: TVR Drying  - Electricity,INDELC,DARY-PH-TVR_DRY,2018,2020,20,0.68,31.536,3,3,3,3,3,3,3,3,3,3,6843,6843,6843,6843,6843,6843,6843,6843,6843,6843,0.298,5
DARY-PH-TVR_DRY-ELC-HRCVR,New Dairy - Process Heat: TVR Drying  - Electricity,INDELC,DARY-PH-TVR_DRY,2018,2020,20,0.68,31.536,9.64,9.64,9.64,9.64,9.64,9.64,9.64,9.64,9.64,9.64,427,427,427,427,427,427,427,427,427,427,0.424,5
DARY-PH-TVR_DRY-COA-Boiler,New Dairy - Process Heat: TVR Drying  - Coal,INDCOA,DARY-PH-TVR_DRY,2018,2020,25,0.68,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,750,750,750,750,750,750,750,750,750,750,,
DARY-PH-TVR_DRY-NGA-Boiler,New Dairy - Process Heat: TVR Drying  - Natural Gas,INDNGA,DARY-PH-TVR_DRY,2018,2020,25,0.68,31.536,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,250,250,250,250,250,250,250,250,250,250,,
DARY-PH-MVR_TVR-COA-Boiler,New Dairy - Process Heat: MVR Evaporation TVR  - Coal,INDCOA,DARY-PH-MVR_TVR,2018,2020,25,0.68,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,750,750,750,750,750,750,750,750,750,750,,
DARY-PH-MVR_TVR-NGA-Boiler,New Dairy - Process Heat: MVR Evaporation TVR  - Natural Gas,INDNGA,DARY-PH-MVR_TVR,2018,2020,25,0.68,31.536,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,250,250,250,250,250,250,250,250,250,250,,
DARY-PH-MVR_TVR-WOD-Boiler,New Dairy - Process Heat: MVR Evaporation TVR  - Wood,INDWOD,DARY-PH-MVR_TVR,2018,2020,25,0.68,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,,
DARY-PH-MVR_TVR-ELC-Boiler,New Dairy - Process Heat: MVR Evaporation TVR  - Electricity,INDELC,DARY-PH-MVR_TVR,2018,2020,25,0.68,31.536,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,250,250,250,250,250,250,250,250,250,250,,
